Date,Open,High,Low,Close,Adj Close,Volume,Close/Open difference...
2020-12-01,1774.369995,1824.829956,1769.369995,1798.099976,1798.099976,1736900,0.013373750157446702
2020-12-02,1798.099976,1835.650024,1789.473022,1827.949951,1827.949951,1222000,0.016600842777609873
2020-12-03,1824.010010,1847.199951,1822.650024,1826.770020,1826.770020,1227300,0.0015131550730908357
2020-12-04,1824.520020,1833.160034,1816.989990,1827.989990,1827.989990,1378200,0.0019018536173695168
2020-12-07,1819.000000,1832.369995,1805.780029,1819.479980,1819.479980,1320900,0.0002638702583837651
2020-12-08,1810.099976,1821.900024,1796.204956,1818.550049,1818.550049,1096300,0.004668290764067705
2020-12-09,1812.010010,1834.270020,1767.810059,1784.130005,1784.130005,1507600,-0.01538623122727671
2020-12-10,1769.800049,1781.310059,1740.319946,1775.329956,1775.329956,1362800,0.0031245942179313918
2020-12-11,1763.060059,1784.449951,1760.000000,1781.770020,1781.770020,1220700,0.010612208531689062
2020-12-14,1775.000000,1797.390015,1757.214966,1760.060059,1760.060059,1600200,-0.008416868169014135
2020-12-15,1764.420044,1771.420044,1749.949951,1767.770020,1767.770020,1482300,0.0018986272636109147
2020-12-16,1772.880005,1773.000000,1756.079956,1763.000000,1763.000000,1513500,-0.005572856015148066
2020-12-17,1768.510010,1771.784058,1738.660034,1747.900024,1747.900024,1624700,-0.011653870141226928
2020-12-18,1754.180054,1755.109985,1720.219971,1731.010010,1731.010010,4016400,-0.013208475348449015
2020-12-21,1713.510010,1740.849976,1699.000000,1739.369995,1739.369995,1828400,0.015091820210609713
2020-12-22,1734.430054,1737.405029,1712.574951,1723.500000,1723.500000,936700,-0.006301813079629632
2020-12-23,1728.109985,1747.989990,1725.040039,1732.380005,1732.380005,1033800,0.0024709191180328324
2020-12-24,1735.000000,1746.000000,1729.109985,1738.849976,1738.849976,346800,0.0022190063400576196
2020-12-28,1751.635010,1790.728027,1746.334961,1776.089966,1776.089966,1393000,0.013961216726308776
2020-12-29,1787.790039,1792.439941,1756.089966,1758.719971,1758.719971,1299400,-0.01626033670948314
2020-12-30,1762.010010,1765.094971,1725.599976,1739.520020,1739.520020,1306100,-0.012763826466570434
2020-12-31,1735.420044,1758.930054,1735.420044,1751.880005,1751.880005,1011900,0.009484712970158607
2021-01-04,1757.540039,1760.650024,1707.849976,1728.239990,1728.239990,1901900,-0.016671056334324537
2021-01-05,1725.000000,1747.670044,1718.015015,1740.920044,1740.920044,1145300,0.009229011014492732
2021-01-06,1702.630005,1748.000000,1699.000000,1735.290039,1735.290039,2602100,0.01918210879879331
2021-01-07,1740.060059,1788.400024,1737.050049,1787.250000,1787.250000,2265000,0.027119719664802727
2021-01-08,1787.979980,1809.839966,1773.535034,1807.209961,1807.209961,2050600,0.010755143354569301
2021-01-11,1786.069946,1794.314941,1760.520020,1766.719971,1766.719971,1209700,-0.01083382822903179
