Date,Open,High,Low,Close,Adj Close,Volume,Close/Open difference...
2020-12-01,118.451241,120.296364,117.667305,117.743790,112.103485,5553319,-0.00597250813100381
2020-12-02,117.447418,119.158699,117.026772,119.139580,113.432404,3860472,0.014407826317646219
2020-12-03,118.699806,119.369026,117.868073,118.173996,112.513084,4757417,-0.0044297460772597455
2020-12-04,118.518166,121.778206,118.202675,121.606117,115.780785,5776849,0.026054664058841444
2020-12-07,120.927345,121.386230,119.091782,119.216064,113.505226,8701151,-0.014151315403476356
2020-12-08,119.808792,120.774376,119.158699,120.181641,114.424553,5643170,0.0031120337145207357
2020-12-09,120.267685,122.074570,120.172081,121.214149,115.407608,6813121,0.007869645117057055
2020-12-10,120.793503,121.347992,119.445503,119.464630,113.741890,5024147,-0.011001195983197884
2020-12-11,118.623329,119.990440,118.173996,118.804970,113.113831,4687544,0.0015312418015178031
2020-12-14,119.808792,120.688339,118.040154,118.097511,112.440247,5282300,-0.014283434224092666
2020-12-15,118.919693,120.391968,118.011475,120.391968,114.624809,4556585,0.012380413730129715
2020-12-16,120.391968,121.003822,119.780113,120.028679,114.278923,4738485,-0.0030175518021269393
2020-12-17,120.535370,120.544930,119.416824,120.028679,114.278923,3962248,-0.004203670673595672
2020-12-18,120.066925,120.841301,119.474190,120.315491,114.551987,7900229,0.0020702287495077995
2020-12-21,118.518166,118.718925,116.367111,117.963669,112.312836,6397022,-0.004678582353358369
2020-12-22,117.887192,118.757172,117.026772,118.173996,112.513084,4535561,0.0024328681948756876
2020-12-23,118.432121,119.703636,118.298279,118.451241,112.777046,2817819,0.000161442688339601
2020-12-24,119.502869,119.598473,118.747612,119.206497,113.496117,1842111,-0.002480040876675565
2020-12-28,119.598473,121.032501,118.986618,119.330788,113.614464,3781499,-0.0022381974726383017
2020-12-29,119.837479,119.961761,117.820267,118.355644,112.686028,3647402,-0.012365371938440091
2020-12-30,118.355644,119.359467,118.193115,118.871895,113.177551,3535794,0.004361862117872443
2020-12-31,118.757172,120.487572,118.537285,120.344170,114.579292,3738822,0.013363386591927335
2021-01-04,120.315491,120.382408,117.629066,118.489487,112.813454,5417443,-0.015176798804735773
2021-01-05,119.512428,121.108986,119.130020,120.592735,114.815948,6395872,0.009039285855693642
2021-01-06,121.319313,126.080307,121.147224,123.604210,117.683174,8322708,0.018833744961941887
